"","mu","gamma","f","grow","rel_fit"
"137",0.0100000000000015,1.00000012203311e-08,9.9999999905912e-07,0.17,0.989999999999999
"138",0.0100000000000015,1.00000011969299e-08,9.9999999883402e-07,0.17,0.989999999999999
"139",0.0100000000000014,1.00000011712896e-08,9.99999998516386e-07,0.17,0.99
"140",0.0100000000000013,1.00000010310943e-08,9.99999998518054e-07,0.17,0.989999999999999
"141",0.0100000000000012,1.00000010661083e-08,9.99999998579185e-07,0.17,0.989999999999999
"142",0.0100000000000011,1.00000010406223e-08,9.99999998601765e-07,0.17,0.989999999999999
"143",0.010000000000001,1.00000010023296e-08,9.99999998818688e-07,0.17,0.989999999999999
"144",0.010000000000001,1.00000010066097e-08,9.99999998864578e-07,0.17,0.99
"145",0.0100000000000012,1.00000010268025e-08,9.99999999019377e-07,0.17,0.99
"146",0.0100000000000013,1.00000010028689e-08,9.99999998992049e-07,0.17,0.989999999999999
"147",0.0100000000000013,1.00000009660237e-08,9.99999998829243e-07,0.17,0.989999999999999
"148",0.0100000000000012,1.00000010960495e-08,9.99999998767464e-07,0.17,0.989999999999999
"149",0.0100000000000013,1.00000009838356e-08,9.99999998556878e-07,0.17,0.989999999999999
"150",0.0100000000000012,1.00000010404103e-08,9.99999998446013e-07,0.17,0.989999999999999
"151",0.0100000000000012,1.00000012199464e-08,9.99999998418665e-07,0.17,0.989999999999999
"152",0.0100000000000013,1.00000014468982e-08,9.99999998389926e-07,0.17,0.989999999999999
"153",0.0100000000000012,1.00000013686589e-08,9.99999998382594e-07,0.17,0.989999999999999
"154",0.0100000000000014,1.0000001461801e-08,9.99999998499759e-07,0.17,0.989999999999999
"155",0.0100000000000012,1.00000013251492e-08,9.99999998507956e-07,0.17,0.989999999999999
"156",0.0100000000000011,1.0000001354654e-08,9.99999998485706e-07,0.17,0.989999999999999
"157",0.0100000000000012,1.00000012013418e-08,9.99999998313121e-07,0.17,0.989999999999999
"158",0.0100000000000012,1.00000011311808e-08,9.99999998111428e-07,0.17,0.989999999999999
"159",0.0100000000000012,1.00000011653249e-08,9.999999980214e-07,0.17,0.989999999999999
"160",0.0100000000000013,1.00000012505904e-08,9.9999999790966e-07,0.17,0.989999999999999
"161",0.0100000000000013,1.00000012955242e-08,9.99999998230569e-07,0.17,0.989999999999999
"162",0.0100000000000012,1.00000013151586e-08,9.99999998243386e-07,0.17,0.989999999999999
"163",0.0100000000000012,1.00000012882467e-08,9.99999998311715e-07,0.17,0.989999999999999
"164",0.0100000000000013,1.0000001401967e-08,9.99999998433301e-07,0.17,0.989999999999999
"165",0.0100000000000013,1.00000013463984e-08,9.99999998501887e-07,0.17,0.989999999999999
"166",0.0100000000000011,1.00000013061965e-08,9.99999998435521e-07,0.17,0.989999999999999
"167",0.0100000000000013,1.00000013367992e-08,9.99999998407495e-07,0.169999999999999,0.989999999999999
"168",0.0100000000000012,1.00000013473205e-08,9.99999998538884e-07,0.169999999999999,0.989999999999999
"169",0.0100000000000011,1.00000012904261e-08,9.99999998753951e-07,0.17,0.989999999999999
"170",0.010000000000001,1.0000001236875e-08,9.99999998914815e-07,0.17,0.989999999999999
"171",0.0100000000000011,1.00000011143781e-08,9.99999998940299e-07,0.17,0.989999999999999
"172",0.0100000000000009,1.00000012020583e-08,9.99999999040084e-07,0.17,0.989999999999999
"173",0.0100000000000008,1.00000013972205e-08,9.99999999066799e-07,0.17,0.989999999999999
"174",0.0100000000000005,1.00000013419954e-08,9.99999999125642e-07,0.17,0.989999999999999
"175",0.0100000000000006,1.00000013181935e-08,9.99999999077086e-07,0.17,0.989999999999999
"176",0.0100000000000005,1.00000012916263e-08,9.99999999152814e-07,0.17,0.989999999999999
"177",0.0100000000000004,1.00000015009622e-08,9.9999999891482e-07,0.17,0.989999999999999
"178",0.0100000000000005,1.00000016630636e-08,9.99999998910341e-07,0.17,0.989999999999999
"179",0.0100000000000006,1.00000017778915e-08,9.99999998837958e-07,0.17,0.989999999999999
"180",0.0100000000000006,1.00000016855376e-08,9.9999999864851e-07,0.17,0.989999999999999
"181",0.0100000000000006,1.00000017856968e-08,9.99999998620396e-07,0.17,0.989999999999999
"182",0.0100000000000005,1.00000018067724e-08,9.99999998574389e-07,0.17,0.989999999999999
"183",0.0100000000000006,1.00000017220175e-08,9.99999998588955e-07,0.17,0.989999999999999
"184",0.0100000000000007,1.00000017184493e-08,9.99999998425867e-07,0.17,0.989999999999999
"185",0.0100000000000007,1.00000018378001e-08,9.99999998359447e-07,0.17,0.989999999999999
"186",0.0100000000000005,1.0000001737109e-08,9.99999998444902e-07,0.17,0.989999999999999
"187",0.0100000000000004,1.00000019647893e-08,9.99999998441831e-07,0.17,0.989999999999999
"188",0.0100000000000003,1.00000020236692e-08,9.99999998397375e-07,0.17,0.989999999999999
"189",0.0100000000000002,1.00000021105675e-08,9.99999998529601e-07,0.17,0.989999999999999
"190",0.0100000000000002,1.00000021717977e-08,9.9999999848662e-07,0.17,0.989999999999999
"191",0.0100000000000002,1.00000021995377e-08,9.99999998570811e-07,0.17,0.989999999999999
"192",0.0100000000000002,1.00000023616236e-08,9.99999998508561e-07,0.17,0.989999999999999
"193",0.0100000000000001,1.00000024718847e-08,9.99999998545811e-07,0.17,0.989999999999999
"194",0.0100000000000001,1.00000023434371e-08,9.99999998399249e-07,0.17,0.989999999999999
"195",0.0100000000000002,1.00000024069932e-08,9.99999998406288e-07,0.17,0.989999999999999
"196",0.0100000000000002,1.00000024397907e-08,9.99999998413412e-07,0.17,0.989999999999999
"197",0.01,1.00000025283148e-08,9.99999998310017e-07,0.17,0.989999999999999
"198",0.01,1.00000024528392e-08,9.99999998335479e-07,0.17,0.989999999999999
"199",0.00999999999999996,1.00000025520008e-08,9.99999998423429e-07,0.17,0.989999999999999
"200",0.00999999999999984,1.0000002563356e-08,9.99999998518956e-07,0.17,0.989999999999999
"201",0.00999999999999983,1.00000026724194e-08,9.99999998641584e-07,0.170000000000001,0.989999999999999
"202",0.00999999999999975,1.00000025787451e-08,9.99999998491758e-07,0.170000000000001,0.989999999999999
"203",0.00999999999999962,1.00000025538906e-08,9.99999998589476e-07,0.17,0.989999999999999
"204",0.00999999999999952,1.00000022498038e-08,9.99999998520676e-07,0.17,0.989999999999999
"205",0.00999999999999949,1.00000020250293e-08,9.99999998511737e-07,0.170000000000001,0.989999999999999
"206",0.00999999999999947,1.00000020142921e-08,9.99999998528925e-07,0.170000000000001,0.989999999999999
"207",0.00999999999999947,1.00000020142921e-08,9.99999998528925e-07,0.170000000000001,0.989999999999999
"208",0.00999999999999935,1.00000020151366e-08,9.99999998447778e-07,0.170000000000001,0.989999999999999
"209",0.00999999999999934,1.00000018929406e-08,9.99999998398168e-07,0.17,0.989999999999999
"210",0.00999999999999942,1.00000017358846e-08,9.99999998435574e-07,0.17,0.989999999999999
"211",0.00999999999999952,1.00000017956531e-08,9.99999998365455e-07,0.17,0.989999999999999
"212",0.00999999999999938,1.00000019232624e-08,9.99999998277659e-07,0.17,0.989999999999999
"213",0.00999999999999931,1.00000021176008e-08,9.99999998251801e-07,0.170000000000001,0.989999999999999
"214",0.00999999999999926,1.00000022831332e-08,9.99999998215819e-07,0.17,0.989999999999999
"215",0.00999999999999921,1.00000023129339e-08,9.99999998194906e-07,0.17,0.989999999999999
"216",0.00999999999999915,1.00000022627292e-08,9.9999999807568e-07,0.17,0.989999999999999
"217",0.00999999999999925,1.00000021808958e-08,9.99999998211901e-07,0.17,0.989999999999999
"218",0.0099999999999991,1.00000022484476e-08,9.99999998347572e-07,0.17,0.989999999999999
"219",0.00999999999999903,1.00000020603374e-08,9.99999998257925e-07,0.17,0.989999999999999
