"","pig","parent_strain","time","name","sum_prop"
"349",3,2,288,"p3",0.6
"350",3,2,288,"phi3",1
"351",3,2,384,"SCCmec",0
"352",3,2,384,"p4",0
"353",3,2,384,"phi6",0.9
"354",3,2,384,"SaPI",0
"355",3,2,384,"Tn916",0
"356",3,2,384,"phi2",0.95
"357",3,2,384,"p1",0
"358",3,2,384,"p2",0.7
"359",3,2,384,"p3",0
"360",3,2,384,"phi3",1
"361",4,1,0,"SCCmec",1
"362",4,1,0,"p4",0
"363",4,1,0,"phi6",1
"364",4,1,0,"SaPI",1
"365",4,1,0,"Tn916",1
"366",4,1,0,"phi2",1
"367",4,1,0,"p1",1
"368",4,1,0,"p2",1
"369",4,1,0,"p3",1
"370",4,1,0,"phi3",0
"371",4,1,4,"SCCmec",1
"372",4,1,4,"p4",0
"373",4,1,4,"phi6",1
"374",4,1,4,"SaPI",1
"375",4,1,4,"Tn916",1
"376",4,1,4,"phi2",1
"377",4,1,4,"p1",1
"378",4,1,4,"p2",1
"379",4,1,4,"p3",1
"380",4,1,4,"phi3",0
"381",4,1,48,"SCCmec",1
"382",4,1,48,"p4",0
"383",4,1,48,"phi6",1
"384",4,1,48,"SaPI",1
"385",4,1,48,"Tn916",1
"386",4,1,48,"phi2",1
"387",4,1,48,"p1",0.95
"388",4,1,48,"p2",1
"389",4,1,48,"p3",1
"390",4,1,48,"phi3",0
"391",4,1,72,"SCCmec",1
"392",4,1,72,"p4",0
"393",4,1,72,"phi6",1
"394",4,1,72,"SaPI",1
"395",4,1,72,"Tn916",1
"396",4,1,72,"phi2",1
"397",4,1,72,"p1",1
"398",4,1,72,"p2",1
"399",4,1,72,"p3",1
"400",4,1,72,"phi3",0
"401",4,1,288,"SCCmec",1
"402",4,1,288,"p4",0
"403",4,1,288,"phi6",1
"404",4,1,288,"SaPI",1
"405",4,1,288,"Tn916",1
"406",4,1,288,"phi2",1
"407",4,1,288,"p1",1
"408",4,1,288,"p2",1
"409",4,1,288,"p3",1
"410",4,1,288,"phi3",0
"411",4,1,384,"SCCmec",1
"412",4,1,384,"p4",0
"413",4,1,384,"phi6",1
"414",4,1,384,"SaPI",1
"415",4,1,384,"Tn916",1
"416",4,1,384,"phi2",1
"417",4,1,384,"p1",1
"418",4,1,384,"p2",1
"419",4,1,384,"p3",1
"420",4,1,384,"phi3",0
"421",4,2,0,"SCCmec",0
"422",4,2,0,"p4",1
"423",4,2,0,"phi6",0
"424",4,2,0,"SaPI",0
"425",4,2,0,"Tn916",0
"426",4,2,0,"phi2",0
"427",4,2,0,"p1",0
"428",4,2,0,"p2",0
"429",4,2,0,"p3",0
"430",4,2,0,"phi3",1
"431",4,2,4,"SCCmec",0
"432",4,2,4,"p4",1
"433",4,2,4,"phi6",0
"434",4,2,4,"SaPI",0
"435",4,2,4,"Tn916",0
"436",4,2,4,"phi2",0
"437",4,2,4,"p1",0
"438",4,2,4,"p2",0
"439",4,2,4,"p3",0
"440",4,2,4,"phi3",1
"441",4,2,48,"SCCmec",0
"442",4,2,48,"p4",1
"443",4,2,48,"phi6",0
"444",4,2,48,"SaPI",0
"445",4,2,48,"Tn916",0
"446",4,2,48,"phi2",0
"447",4,2,48,"p1",0
"448",4,2,48,"p2",0
"449",4,2,48,"p3",0
"450",4,2,48,"phi3",1
"451",4,2,72,"SCCmec",0
"452",4,2,72,"p4",0
"453",4,2,72,"phi6",0.25
"454",4,2,72,"SaPI",0
"455",4,2,72,"Tn916",0
"456",4,2,72,"phi2",0.25
"457",4,2,72,"p1",0
"458",4,2,72,"p2",0.7
"459",4,2,72,"p3",0
"460",4,2,72,"phi3",1
"461",4,2,288,"SCCmec",0
"462",4,2,288,"p4",0
"463",4,2,288,"phi6",0.85
"464",4,2,288,"SaPI",0
"465",4,2,288,"Tn916",0
"466",4,2,288,"phi2",0.9
"467",4,2,288,"p1",0
"468",4,2,288,"p2",0.1
"469",4,2,288,"p3",0.05
"470",4,2,288,"phi3",1
"471",4,2,384,"SCCmec",0
"472",4,2,384,"p4",0
"473",4,2,384,"phi6",1
"474",4,2,384,"SaPI",0
"475",4,2,384,"Tn916",0
"476",4,2,384,"phi2",1
"477",4,2,384,"p1",0
"478",4,2,384,"p2",0.3
"479",4,2,384,"p3",0
"480",4,2,384,"phi3",1
